Id,Sales
1,4008.3321242497445
2,7166.775908955077
3,9029.620827657656
4,7036.920572151636
5,7491.3707242555665
6,5772.419728584398
7,7527.538234863214
8,7826.099172824084
9,4685.057986052994
10,5863.167835495729
11,6753.698713962505
12,8037.036423527342
13,7106.364825641152
14,9161.113219709907
15,5506.848069515521
16,4816.576848420582
17,5420.395846132652
18,9500.43717103065
19,10661.472128471461
20,9852.203937675637
21,8164.379649921844
22,4701.331118507201
23,5853.7997005519655
24,4720.839076171332
25,7725.260489950779
26,10663.453261107754
27,8864.398283457947
28,5715.510445318432
29,5335.536207321215
30,4092.8450016427164
31,5488.139328609184
32,10691.41690835339
33,6747.990122639759
34,5177.124247484753
35,5114.19065997285
36,7645.835980088132
37,3598.072865819345
38,7143.035010070889
39,4203.708648643757
40,6961.8265134055455
41,6414.809104071065
42,5360.292947627791
43,7292.531219402644
44,7081.856764714594
45,4819.675797648476
46,7130.912356800017
47,6850.0897668873795
48,10957.986770304604
49,5852.4924380281855
50,8036.41713314506
51,6648.82324720883
52,8265.483849737711
53,6599.835063850691
54,9312.02180087884
55,5032.414852683218
56,5205.897038616343
57,6370.426011162581
58,5967.170987782841
59,8726.732735772304
60,7045.595586390765
61,5394.631974708209
62,7202.391059331843
63,7025.049109798881
64,9982.248094936862
65,3939.8664835559607
66,12958.45296458878
67,5103.475802272872
68,6266.452900859838
69,8146.236973257751
70,4888.136026763531
71,6142.010887809594
72,6386.704041613146
73,7319.769083013219
74,5314.07773549919
75,5193.7627853440845
76,8385.899060028825
77,7472.581438554832
78,6941.384464622786
79,4923.832558633707
80,7295.025937880356
81,11102.577823487853
82,6544.814608884589
83,4232.734127513715
84,6207.578609414623
85,5945.767047294593
86,6000.454542383341
87,7837.009053633958
88,4130.251388165864
89,7866.051861657865
90,6197.273464726217
91,6689.46549403364
92,6637.774206593613
93,4606.957048955669
94,6048.954952973493
95,5156.185514938636
96,7678.9361335897665
97,9096.223132094341
98,4886.162237841439
99,5107.072481084721
100,7137.104111973941
101,5664.836509627693
102,5317.081149637321
103,8210.001079934407
104,6832.311763182174
105,7029.924937670307
106,5564.382800084386
107,4673.427149588746
108,6598.444714486262
109,7894.095490100266
110,7995.188065548723
111,7840.694708785538
112,7814.181967096133
113,5991.356053983441
114,8207.81810046985
115,6016.012899399498
116,7234.032411227653
117,8183.44817107271
118,6801.058286847333
119,10214.556223458456
120,7219.020170818733
121,7636.57706620616
