Id,Sales
1,4439.0483
2,7337.427
3,9350.326
4,5888.3765
5,6405.1846
6,5928.716
7,7751.035
8,7167.237
9,4320.656
10,5828.545
11,6952.47
12,7980.3945
13,6433.3574
14,7586.8423
15,5430.9883
16,4265.361
17,5294.1313
18,9315.454
19,10717.074
20,9339.284
21,7207.5684
22,4948.6743
23,6174.4507
24,4017.891
25,8854.991
26,9320.502
27,8324.319
28,5916.222
29,4835.9893
30,4468.9814
31,4448.5923
32,10067.442
33,6613.683
34,5138.486
35,4705.618
36,6937.6934
37,4126.8184
38,7181.174
39,4042.181
40,5712.236
41,6176.6
42,5352.518
43,7138.157
44,5408.845
45,4290.967
46,6905.5996
47,6925.2925
48,10446.035
49,6101.486
50,8023.0825
51,6638.4224
52,9221.381
53,6836.5664
54,8949.175
55,4253.2114
56,4688.949
57,6070.8975
58,6452.196
59,8128.9355
60,7550.01
61,5586.136
62,7300.7466
63,6214.3374
64,8826.426
65,3841.764
66,12895.786
67,4511.0693
68,5729.4873
69,7922.49
70,6143.5317
71,5871.6655
72,5773.02
73,7000.28
74,5032.543
75,4469.442
76,6975.6553
77,7106.112
78,6606.1626
79,4707.3013
80,6851.958
81,9386.072
82,6352.709
83,4546.8833
84,6725.141
85,5855.779
86,6647.108
87,6394.76
88,3953.5479
89,7557.826
90,5983.518
91,7217.294
92,6271.708
93,4658.9956
94,6055.3896
95,4574.1533
96,7154.064
97,8353.792
98,5615.862
99,5743.1255
100,5506.5063
101,6021.6836
102,4596.4507
103,7853.823
104,5514.0786
105,7383.6997
106,6032.8174
107,4612.456
108,6296.627
109,7038.128
110,7545.3525
111,7957.701
112,7578.6343
113,5037.7144
114,8689.718
115,5616.339
116,6702.2515
117,8696.516
118,6152.526
119,9947.402
120,8290.648
121,6702.6733
122,5948.538
123,6927.525
124,7610.4443
125,5968.444
126,3884.4924
127,5266.626
128,7659.8413
129,7333.1104
130,5284.93
131,8953.648
132,6241.498
133,5145.356
134,5167.2188
135,5504.0596
136,6878.7427
137,6530.0083
138,6094.0015
139,5058.353
140,4686.428
141,6827.6533
142,3443.9912
143,6396.1196
144,4800.7627
145,9130.739
146,6600.1865
147,6558.242
148,7395.4897
149,5083.413
150,4714.2876
151,9955.421
152,6545.7144
153,7600.0654
154,7589.925
155,5079.1777
156,5992.535
